LoggedAt,Event,Symbol,Direction,Entry,StopLoss,TakeProfit,PositionSize,Ticket,Extra
2026-04-24T07:52:35,CLOSE,BTCUSDm,BUY,77820.63,77687.20875547895,78049.6,0.01,2672602183,BrokerClose
2026-04-24T08:41:03,CLOSE,BTCUSDm,SELL,77811.26,77894.53525350317,0.0,0.01,2672717980,BrokerClose
2026-04-24T09:01:16,CLOSE,BTCUSDm,SELL,77812.78,77915.919339,0.0,0.01,2672791296,BrokerClose
2026-04-24T09:06:52,SYNC,BTCUSDm,SELL,77825.98,0.0,0.0,0.01,2672820398,Adopted aligned broker position
2026-04-24T09:07:06,CLOSE,BTCUSDm,SELL,77825.98,77879.70671142722,0.0,0.01,2672820398,BrokerClose
2026-04-24T09:14:45,OPEN,BTCUSDm,SELL,77781.07,77864.15,77614.91000000003,0.34,2672843791,Precision PSAR SELL entry | Mode: LIVE_NEXT_PSAR_TRIGGER_CROSS | Next PSAR trigger: 77788.3051 | Entry: 77788.0700 | Estimated reversal PSAR SL: 77864.1500 | Prior trend: UP | Prior EP: 77864.1500
2026-04-24T09:14:57,CLOSE,BTCUSDm,SELL,77781.07,77786.36035625,77614.91000000003,0.34,2672843791,BrokerClose
2026-04-24T09:23:20,SYNC,BTCUSDm,SELL,77692.28,0.0,0.0,0.02,2672869998,Adopted aligned broker position
2026-04-24T09:24:15,CLOSE,BTCUSDm,SELL,77692.28,77813.58362240886,0.0,0.02,2672869998,BrokerClose
2026-04-24T09:25:05,SYNC,BTCUSDm,SELL,77680.64,0.0,0.0,0.02,2672874457,Adopted aligned broker position
2026-04-24T09:25:43,CLOSE,BTCUSDm,SELL,77680.64,77806.45244128842,0.0,0.02,2672874457,BrokerClose
2026-04-24T20:59:38,OPEN,BTCUSDm,BUY,77667.17,77549.55529490173,77902.39941019654,0.24,2675773749,Precision PSAR BUY entry | Mode: LIVE_NEXT_PSAR_TRIGGER_CROSS | Next PSAR trigger: 77657.0714 | Entry: 77660.1700 | Estimated reversal PSAR SL: 77575.8500 | Prior trend: DOWN | Prior EP: 77575.8500
