LoggedAt,Symbol,Direction,Entry,StopLoss,TakeProfit,PositionSize,Ticket,CloseReason
2026-04-22T20:14:02,BTCUSDm,SELL,78876.71,79022.89,78584.35000000002,0.19,2666048499,BrokerClose
2026-04-23T04:37:02,BTCUSDm,SELL,78277.32,78136.91803073024,77983.18,0.01,2667121160,BrokerClose
2026-04-23T04:52:02,BTCUSDm,SELL,77950.96,77985.68977014479,77527.83531001116,0.13,2667176599,BrokerClose
2026-04-23T05:40:01,BTCUSDm,SELL,77904.6,77746.99419957111,77597.50000000003,0.18,2667239478,BrokerClose
2026-04-23T06:50:01,BTCUSDm,BUY,77890.74,77859.93915056472,78154.14000000003,0.22,2667362839,BrokerClose
2026-04-23T07:17:02,BTCUSDm,BUY,77927.83,77972.80705972842,78084.69000000002,0.36,2667395195,BrokerClose
2026-04-23T08:24:01,BTCUSDm,BUY,78074.15000000001,78175.84,78304.82,0.02,2667538832,BrokerClose
2026-04-23T18:25:04,BTCUSDm,BUY,78250.01,78115.58,78518.86999999998,0.21,2667681263,BrokerClose
2026-04-23T18:43:04,BTCUSDm,BUY,78458.59,78346.85519175595,78865.81,0.14,2670475045,BrokerClose
2026-04-23T19:41:00,BTCUSDm,SELL,77652.79,77740.04202052344,77207.66999999997,0.13,2670859159,BrokerClose
